rmse,mae,r2,n,nrmse,circuit,target,model,pooled_r2
25.658815252780308,17.008920988463007,0.6880214811062588,2797,,Canadian Grand Prix,d_coast_optimal,xgb,0.6970557036662698
32.58030851486006,11.709993905964552,0.6465431244458546,4527,,Chinese Grand Prix,d_coast_optimal,xgb,0.6970557036662698
15.447111596593952,8.11707940522245,0.7538033903981851,4560,,Dutch Grand Prix,d_coast_optimal,xgb,0.6970557036662698
12.168195540845737,6.342718080885999,0.8200768958780517,5098,,Emilia Romagna Grand Prix,d_coast_optimal,xgb,0.6970557036662698
14.877841000961944,8.77990462469889,0.8065476411074574,5240,,Hungarian Grand Prix,d_coast_optimal,xgb,0.6970557036662698
30.63067951587298,17.87916996759986,0.13219006855692605,2795,,Italian Grand Prix,d_coast_optimal,xgb,0.6970557036662698
11.942342793204324,6.872474773228409,0.6575708182614932,6217,,Japanese Grand Prix,d_coast_optimal,xgb,0.6970557036662698
50.83958513494369,19.46667401027332,0.3336027803591777,4100,,Las Vegas Grand Prix,d_coast_optimal,xgb,0.6970557036662698
16.012929405625496,9.421081965451009,0.8466386989223862,3007,,Mexico City Grand Prix,d_coast_optimal,xgb,0.6970557036662698
20.12966164581574,8.967249749901516,0.6677283363188837,5060,,Miami Grand Prix,d_coast_optimal,xgb,0.6970557036662698
13.452053466425365,7.170619696299456,0.8049966514340254,4755,,Monaco Grand Prix,d_coast_optimal,xgb,0.6970557036662698
9.236403902110895,5.042740015436121,0.8827168492977777,5999,,Qatar Grand Prix,d_coast_optimal,xgb,0.6970557036662698
9.75662917096805,5.3450345953869185,0.8434625662454308,7520,,Saudi Arabian Grand Prix,d_coast_optimal,xgb,0.6970557036662698
16.073117814693276,10.072234474640718,0.8106916192209411,5330,,Singapore Grand Prix,d_coast_optimal,xgb,0.6970557036662698
14.26807693238889,7.823091843157537,0.8271142439391876,4120,,Spanish Grand Prix,d_coast_optimal,xgb,0.6970557036662698
14.791464907444642,7.12798944681271,0.8146132674648565,3568,,São Paulo Grand Prix,d_coast_optimal,xgb,0.6970557036662698
